Task_ID,Parsed_Intent,Action_Taken,Base_Reward,Total_Reward,Timestamp,Confidence_Score,User_Feedback,Suggested_Correct_Action,Sigmoid_Confidence,Softmax_Confidence,Ranking_Confidence,Follow_up_Task,Follow_up_Accepted,Follow_up_Reward,Chosen_Q_Value,Mean_Other_Q_Values
E1-T5,pause,open,-1,0,2025-09-24T13:19:33,0.457,👎,close,0.5,0.143,1.0,,False,1,0.0,0.0
E1-T6,record,close,2,2,2025-09-24T13:19:33,0.449,👍,,0.56,0.134,0.857,open,False,0,1.1328,0.70305552
E1-T7,open,close,-1,0,2025-09-24T13:19:33,0.674,👎,unmute,0.832,0.354,1.0,,False,1,2.36,-0.03999999999999998
E1-T8,check,unmute,-1,0,2025-09-24T13:19:33,0.629,👎,mute,0.78,0.293,1.0,,False,1,2.7937404015590404,0.8254106537894401
E1-T9,open,unmute,-1,0,2025-09-24T13:19:33,0.622,👎,play,0.835,0.22,1.0,,False,1,1.36,0.2554666666666667
E1-T10,adjust,open,-1,0,2025-09-24T13:19:33,0.658,👎,open,0.881,0.265,1.0,,False,1,1.541112,0.0
E2-T1,check,open,2,2,2025-09-24T13:19:33,0.154,👍,,0.257,0.056,0.143,mute,False,0,-0.32,1.5118054945773312
E2-T2,restart,set_dnd,-1,0,2025-09-24T13:19:33,0.394,👎,screenshot,0.417,0.138,0.857,,False,1,0.0,0.06666666666666667
E2-T3,restart,screenshot,-1,0,2025-09-24T13:19:33,0.655,👎,screenshot,0.824,0.314,1.0,,False,1,2.0,-0.03999999999999998
E2-T4,open,play,2,2,2025-09-24T13:19:33,0.646,👍,,0.842,0.273,1.0,close,False,0,2.0,0.33013333333333333
E2-T5,stop,set_dnd,2,2,2025-09-24T13:19:33,0.68,👍,,0.838,0.362,1.0,unmute,False,0,2.36,-0.10666666666666665
E2-T6,check,mute,-1,0,2025-09-24T13:19:33,0.635,👎,unmute,0.784,0.303,1.0,,False,1,3.1298706860006402,1.1080565008239105
E2-T7,check,mute,-1,0,2025-09-24T13:19:33,0.476,👎,close,0.597,0.164,0.857,,False,1,2.187602976851435,1.4413898341572438
E2-T8,pause,mute,2,3,2025-09-24T13:19:33,0.402,👍,,0.457,0.118,0.857,close,True,1,0.0,0.22666666666666668
E2-T9,review,play,-1,0,2025-09-24T13:19:33,0.648,👎,set_dnd,0.831,0.288,1.0,,False,1,2.0,0.15466666666666665
E2-T10,record,open,-1,0,2025-09-24T13:19:33,0.712,👎,close,0.853,0.426,1.0,,False,1,3.5735331200000005,0.43237932693333336
E3-T1,join,open,-1,0,2025-09-24T13:19:33,0.661,👎,open,0.831,0.322,1.0,,False,1,2.0,-0.10666666666666665
E3-T2,review,set_dnd,-1,0,2025-09-24T13:19:33,0.632,👎,close,0.81,0.27,1.0,,False,1,2.0,0.31466666666666665
E3-T3,check,unmute,2,3,2025-09-24T13:19:33,0.645,👍,,0.781,0.33,1.0,screenshot,True,1,3.7983690447273473,1.3806264616246977
E3-T4,take,open,2,2,2025-09-24T13:19:33,0.457,👍,,0.5,0.143,1.0,close,False,0,0.0,0.0
E3-T5,open,play,-1,0,2025-09-24T13:19:33,0.663,👎,screenshot,0.848,0.31,1.0,,False,1,2.36,0.33013333333333333
E3-T6,send,open,-1,0,2025-09-24T13:19:33,0.659,👎,close,0.881,0.266,1.0,,False,1,1.5526368000000002,0.0
E3-T7,pause,open,2,2,2025-09-24T13:19:33,0.182,👍,,0.303,0.082,0.143,close,False,0,-0.6399999999999999,0.45999999999999996
E3-T8,review,close,2,3,2025-09-24T13:19:33,0.617,👍,,0.788,0.255,1.0,open,True,1,2.0,0.4746666666666666
E3-T9,reply,open,-1,0,2025-09-24T13:19:33,0.457,👎,screenshot,0.5,0.143,1.0,,False,1,0.0,0.0
E3-T10,take,open,2,3,2025-09-24T13:19:33,0.62,👍,,0.881,0.169,1.0,close,True,1,0.4,0.0
E4-T1,restart,screenshot,2,2,2025-09-24T13:19:33,0.695,👍,,0.838,0.398,1.0,open,False,0,2.74,-0.03999999999999998
E4-T2,open,screenshot,-1,0,2025-09-24T13:19:33,0.625,👎,set_dnd,0.812,0.251,1.0,,False,1,2.0,0.5381333333333334
E4-T3,stop,open,2,3,2025-09-24T13:19:34,0.196,👍,,0.343,0.076,0.143,close,True,1,-0.6399999999999999,0.45213333333333333
E4-T4,restart,screenshot,2,3,2025-09-24T13:19:34,0.713,👍,,0.843,0.44,1.0,open,True,1,3.0852000000000004,-0.03999999999999998
E4-T5,check,unmute,2,3,2025-09-24T13:19:34,0.663,👍,,0.791,0.367,1.0,screenshot,True,1,4.1224016638328,1.3806264616246977
E4-T6,record,close,-1,0,2025-09-24T13:19:34,0.718,👎,mute,0.849,0.445,1.0,,False,1,3.9494759616,0.5357553615146667
E4-T7,check,unmute,2,3,2025-09-24T13:19:34,0.681,👍,,0.799,0.405,1.0,screenshot,True,1,4.439953630556144,1.3806264616246977
E4-T8,take,play,-1,0,2025-09-24T13:19:34,0.392,👎,set_dnd,0.417,0.134,0.857,,False,1,0.0,0.132
E4-T9,answer,open,2,2,2025-09-24T13:19:34,0.457,👍,,0.5,0.143,1.0,close,False,0,0.0,0.0
E4-T10,organize,play,-1,0,2025-09-24T13:19:34,0.457,👎,set_dnd,0.5,0.143,1.0,,False,1,0.0,0.0
E5-T1,answer,play,2,2,2025-09-24T13:19:34,0.394,👍,,0.417,0.138,0.857,mute,False,0,0.0,0.06666666666666667
E5-T2,play,unmute,2,3,2025-09-24T13:19:34,0.694,👍,,0.839,0.395,1.0,mute,True,1,3.0585440000000004,0.26508965333333334
E5-T3,take,close,2,2,2025-09-24T13:19:34,0.361,👍,,0.432,0.112,0.714,open,False,0,0.0,0.3586666666666667
E5-T4,restart,open,2,2,2025-09-24T13:19:34,0.411,👍,,0.492,0.106,0.857,screenshot,False,0,0.4,0.46391600000000005
E5-T5,open,set_dnd,2,2,2025-09-24T13:19:34,0.61,👍,,0.786,0.238,1.0,unmute,False,0,2.0,0.6981333333333334
E5-T6,open,close,-1,0,2025-09-24T13:19:34,0.421,👎,set_dnd,0.549,0.147,0.714,,False,1,1.1328,0.9026666666666667
E5-T7,take,screenshot,2,2,2025-09-24T13:19:34,0.321,👍,,0.409,0.106,0.571,open,False,0,0.0,0.48533333333333334
E5-T8,pause,close,2,3,2025-09-24T13:19:34,0.662,👍,,0.862,0.292,1.0,open,True,1,2.0,0.168
E5-T9,pause,play,2,3,2025-09-24T13:19:34,0.308,👍,,0.383,0.102,0.571,close,True,1,0.0,0.5613333333333334
E5-T10,pause,unmute,2,3,2025-09-24T13:19:34,0.267,👍,,0.356,0.097,0.429,play,True,1,0.0,0.6988
E6-T1,check,unmute,2,3,2025-09-24T13:19:34,0.699,👍,,0.805,0.443,1.0,screenshot,True,1,4.751154557945021,1.3806264616246977
E6-T2,check,mute,2,2,2025-09-24T13:19:34,0.324,👍,,0.446,0.079,0.571,unmute,False,0,1.4337888095320706,1.984350237833706
E6-T3,restart,screenshot,2,3,2025-09-24T13:19:34,0.716,👍,,0.836,0.453,1.0,open,True,1,3.4234960000000005,0.11603821333333335
E6-T4,check,unmute,2,2,2025-09-24T13:19:34,0.703,👍,,0.8,0.457,1.0,mute,False,0,5.056131466786121,1.5511841119772123
E6-T5,take,set_dnd,2,2,2025-09-24T13:19:34,0.625,👍,,0.787,0.276,1.0,open,False,0,2.0,0.2786666666666667
E6-T6,restart,screenshot,2,2,2025-09-24T13:19:34,0.734,👍,,0.84,0.495,1.0,open,False,0,3.7550260800000004,0.11603821333333335
E6-T7,pause,close,2,2,2025-09-24T13:19:34,0.654,👍,,0.835,0.299,1.0,open,False,0,2.36,0.4429333333333334
E6-T8,stop,play,2,2,2025-09-24T13:19:34,0.345,👍,,0.406,0.099,0.714,mute,False,0,0.0,0.5148506666666667
E6-T9,adjust,open,2,2,2025-09-24T13:19:34,0.69,👍,,0.881,0.344,1.0,close,False,0,2.29028976,0.0
E6-T10,check,unmute,2,3,2025-09-24T13:19:34,0.72,👍,,0.805,0.494,1.0,mute,True,1,5.355008837450399,1.5511841119772123
E1-T1,create,play,-1,0,2025-09-24T13:34:17,0.457,👎,screenshot,0.5,0.143,1.0,,False,1,0.0,0.0
E1-T2,create,screenshot,2,3,2025-09-24T13:34:17,0.661,👍,,0.831,0.322,1.0,open,True,1,2.0,-0.10666666666666665
E1-T3,check,unmute,-1,0,2025-09-24T13:34:17,0.736,👎,play,0.81,0.53,1.0,,False,1,5.647908660701391,1.5511841119772123
E1-T4,take,set_dnd,-1,0,2025-09-24T13:34:17,0.645,👎,open,0.8,0.313,1.0,,False,1,2.36,0.2786666666666667
E1-T5,send,close,-1,0,2025-09-24T13:34:17,0.668,👎,play,0.87,0.3,1.0,,False,1,2.0,0.10035157333333335
E1-T6,organize,unmute,-1,0,2025-09-24T13:34:17,0.402,👎,unmute,0.457,0.118,0.857,,False,1,0.0,0.22666666666666668
E1-T7,open,set_dnd,-1,0,2025-09-24T13:34:17,0.744,👎,close,0.847,0.514,1.0,,False,1,4.359999999999999,0.6245066666666667
E1-T8,set,unmute,-1,0,2025-09-24T13:34:17,0.74,👎,play,0.843,0.507,1.0,,False,1,3.7623251200000003,0.06292832000000004
E1-T9,close,open,2,3,2025-09-24T13:34:17,0.62,👍,,0.881,0.169,1.0,close,True,1,0.4,0.0
E1-T10,close,open,-1,0,2025-09-24T13:34:17,0.632,👎,screenshot,0.881,0.198,1.0,,False,1,0.792,0.0
E2-T1,check,unmute,-1,0,2025-09-24T13:34:17,0.657,👎,open,0.795,0.347,1.0,,False,1,4.354950487487363,1.8845174453105455
E2-T2,create,screenshot,-1,0,2025-09-24T13:34:17,0.68,👎,unmute,0.838,0.362,1.0,,False,1,2.36,-0.10666666666666665
E2-T3,create,unmute,-1,0,2025-09-24T13:34:17,0.64,👎,play,0.808,0.292,1.0,,False,1,2.0,0.10133333333333334
E2-T4,check,unmute,2,3,2025-09-24T13:34:17,0.56,👍,,0.703,0.197,1.0,mute,True,1,3.087851477737616,2.217850778643879
E2-T5,check,screenshot,2,2,2025-09-24T13:34:17,0.292,👍,,0.404,0.11,0.429,open,False,0,2.0,2.4555331866743564
E2-T6,open,set_dnd,-1,0,2025-09-24T13:34:17,0.641,👎,play,0.799,0.303,1.0,,False,1,3.0927999999999995,0.95784
E2-T7,close,screenshot,-1,0,2025-09-24T13:34:17,0.677,👎,close,0.88,0.312,1.0,,False,1,2.0,-0.0010666666666666602
E2-T8,play,unmute,2,3,2025-09-24T13:34:17,0.712,👍,,0.844,0.436,1.0,mute,True,1,3.39737312,0.26508965333333334
E2-T9,pause,close,-1,0,2025-09-24T13:34:17,0.672,👎,unmute,0.842,0.338,1.0,,False,1,2.7128,0.4429333333333334
E2-T10,open,close,-1,0,2025-09-24T13:34:17,0.549,👎,play,0.716,0.229,0.857,,False,1,2.69104,1.1858133333333334
E3-T1,close,screenshot,2,3,2025-09-24T13:34:17,0.501,👍,,0.652,0.173,0.857,close,True,1,0.96,0.33226666666666665
E3-T2,create,play,-1,0,2025-09-24T13:34:18,0.611,👎,play,0.816,0.211,1.0,,False,1,1.36,0.3488
E3-T3,check,unmute,-1,0,2025-09-24T13:34:18,0.574,👎,screenshot,0.719,0.217,1.0,,False,1,3.4260944481828632,2.320633612089365
E3-T4,join,open,2,2,2025-09-24T13:34:18,0.7,👍,,0.843,0.407,1.0,close,False,0,2.74,-0.10666666666666665
E3-T5,organize,set_dnd,2,2,2025-09-24T13:34:18,0.646,👍,,0.814,0.3,1.0,unmute,False,0,2.0,0.053333333333333344
E3-T6,pause,unmute,-1,0,2025-09-24T13:34:18,0.663,👎,play,0.83,0.328,1.0,,False,1,2.8248,0.5852506666666667
E3-T7,open,play,2,2,2025-09-24T13:34:18,0.759,👍,,0.835,0.562,1.0,close,False,0,5.248,0.9940586666666666
E3-T8,check,screenshot,2,3,2025-09-24T13:34:18,0.648,👍,,0.786,0.335,1.0,open,True,1,4.616697000672915,2.313164281755115
E3-T9,review,unmute,-1,0,2025-09-24T13:34:18,0.481,👎,close,0.608,0.167,0.857,,False,1,1.248,0.66
E3-T10,open,play,-1,0,2025-09-24T13:34:18,0.774,👎,close,0.838,0.598,1.0,,False,1,5.54304,0.9940586666666666
E4-T1,close,close,2,2,2025-09-24T13:34:18,0.651,👍,,0.851,0.276,1.0,screenshot,False,0,2.0,0.2536
E4-T2,clear,mute,2,2,2025-09-24T13:34:18,0.68,👍,,0.838,0.362,1.0,unmute,False,0,2.36,-0.10666666666666665
E4-T3,close,open,2,3,2025-09-24T13:34:18,0.213,👍,,0.365,0.096,0.143,close,True,1,-0.006399999999999961,0.648
E4-T4,take,open,2,2,2025-09-24T13:34:18,0.659,👍,,0.803,0.345,1.0,close,False,0,2.792,0.37842666666666663
E4-T5,check,screenshot,2,2,2025-09-24T13:34:18,0.666,👍,,0.795,0.37,1.0,open,False,0,4.924363060659457,2.313164281755115
E4-T6,review,close,2,3,2025-09-24T13:34:18,0.754,👍,,0.845,0.539,1.0,open,True,1,4.359999999999999,0.3972
E4-T7,open,play,-1,0,2025-09-24T13:34:18,0.659,👎,play,0.798,0.349,1.0,,False,1,4.2521792000000005,1.327392
E4-T8,open,play,2,2,2025-09-24T13:34:18,0.697,👍,,0.812,0.431,1.0,close,False,0,4.947135616000001,1.327392
E4-T9,play,unmute,2,3,2025-09-24T13:34:18,0.73,👍,,0.847,0.477,1.0,mute,True,1,3.7294256576,0.26508965333333334
E4-T10,stop,set_dnd,-1,0,2025-09-24T13:34:18,0.691,👎,set_dnd,0.863,0.365,1.0,,False,1,2.7128,0.21076800000000007
E5-T1,check,screenshot,2,3,2025-09-24T13:34:18,0.683,👍,,0.803,0.406,1.0,open,True,1,5.225875799446268,2.313164281755115
E5-T2,open,play,2,3,2025-09-24T13:34:18,0.714,👍,,0.817,0.469,1.0,close,True,1,5.248192903680001,1.327392
E5-T3,set,unmute,2,2,2025-09-24T13:34:18,0.638,👍,,0.793,0.302,1.0,play,False,0,2.5070786176000004,0.39626165333333335
E5-T4,pause,play,2,3,2025-09-24T13:34:18,0.648,👍,,0.814,0.306,1.0,close,True,1,2.8248,0.7425013333333333
E5-T5,take,open,2,2,2025-09-24T13:34:18,0.679,👍,,0.812,0.385,1.0,close,False,0,3.13616,0.37842666666666663
E5-T6,create,play,2,3,2025-09-24T13:34:18,0.649,👍,,0.842,0.28,1.0,screenshot,True,1,2.1128000000000005,0.3488
E5-T7,clear,mute,2,2,2025-09-24T13:34:18,0.699,👍,,0.843,0.404,1.0,unmute,False,0,2.7128,-0.10666666666666665
E5-T8,check,close,2,3,2025-09-24T13:34:18,0.439,👍,,0.539,0.13,0.857,screenshot,True,1,3.071296618368,2.7215078926033383
E5-T9,close,close,-1,0,2025-09-24T13:34:18,0.656,👎,unmute,0.841,0.298,1.0,,False,1,2.36,0.39128000000000007
E5-T10,check,screenshot,2,3,2025-09-24T13:34:18,0.686,👍,,0.8,0.416,1.0,close,True,1,5.521358283457342,2.4430951429799017
E6-T1,check,close,2,3,2025-09-24T13:34:18,0.484,👍,,0.612,0.169,0.857,screenshot,True,1,3.8508817857167217,2.769770031658481
E6-T2,record,close,2,3,2025-09-24T13:34:18,0.623,👍,,0.795,0.264,1.0,open,True,1,2.690486442368,0.8690886948480001
E6-T3,open,play,2,2,2025-09-24T13:34:18,0.73,👍,,0.821,0.505,1.0,close,False,0,5.543229045606401,1.327392
E6-T4,take,open,-1,0,2025-09-24T13:34:18,0.698,👎,close,0.818,0.426,1.0,,False,1,3.4734368,0.37842666666666663
E6-T5,check,unmute,2,2,2025-09-24T13:34:18,0.326,👍,,0.445,0.084,0.571,screenshot,False,0,2.5718810186674155,3.095568700176454
E6-T6,send,close,2,2,2025-09-24T13:34:18,0.49,👍,,0.629,0.167,0.857,open,False,0,0.96,0.43368490666666665
E6-T7,clear,mute,2,2,2025-09-24T13:34:18,0.717,👍,,0.847,0.446,1.0,unmute,False,0,3.0585440000000004,-0.10666666666666665
E6-T8,take,close,2,3,2025-09-24T13:34:18,0.631,👍,,0.778,0.299,1.0,open,True,1,2.76,0.63101824
E6-T9,check,screenshot,2,3,2025-09-24T13:34:18,0.676,👍,,0.787,0.403,1.0,close,True,1,5.810931117788195,2.7109922499010555
E6-T10,open,play,2,2,2025-09-24T13:34:18,0.746,👍,,0.824,0.541,1.0,close,False,0,5.8323644646942725,1.327392
E1-T1,open,play,-1,0,2025-09-24T13:49:52,0.761,👎,play,0.827,0.576,1.0,,False,1,6.115717175400387,1.327392
E1-T2,create,play,2,3,2025-09-24T13:49:52,0.666,👍,,0.848,0.318,1.0,screenshot,True,1,2.4705440000000003,0.3488
E1-T3,monitor,open,2,2,2025-09-24T13:49:52,0.457,👍,,0.5,0.143,1.0,close,False,0,0.0,0.0
E1-T4,update,set_dnd,-1,0,2025-09-24T13:49:52,0.669,👎,play,0.854,0.317,1.0,,False,1,2.0,-0.05333333333333334
E1-T5,set,unmute,-1,0,2025-09-24T13:49:52,0.657,👎,open,0.803,0.34,1.0,,False,1,2.8569370452480003,0.39626165333333335
E1-T6,check,screenshot,-1,0,2025-09-24T13:49:52,0.692,👎,unmute,0.794,0.437,1.0,,False,1,6.094712495432431,2.7109922499010555
E1-T7,open,play,-1,0,2025-09-24T13:49:52,0.795,👎,open,0.833,0.654,1.0,,False,1,6.773402831892379,1.327392
E1-T8,unmute,set_dnd,2,3,2025-09-24T13:49:52,0.674,👍,,0.832,0.354,1.0,unmute,True,1,2.36,-0.03999999999999998
E1-T9,take,close,2,2,2025-09-24T13:49:52,0.65,👍,,0.789,0.336,1.0,open,False,0,3.1048,0.63101824
E1-T10,backup,screenshot,2,3,2025-09-24T13:49:52,0.661,👍,,0.831,0.322,1.0,close,True,1,2.0,-0.10666666666666665
E2-T1,answer,play,2,3,2025-09-24T13:49:52,0.607,👍,,0.848,0.169,1.0,mute,True,1,0.472,0.06666666666666667
E2-T2,answer,play,2,3,2025-09-24T13:49:52,0.625,👍,,0.864,0.198,1.0,mute,True,1,0.86256,0.06666666666666667
E2-T3,restart,screenshot,-1,0,2025-09-24T13:49:52,0.751,👎,open,0.843,0.535,1.0,,False,1,4.0799255584,0.11603821333333335
E2-T4,take,close,2,3,2025-09-24T13:49:52,0.67,👍,,0.799,0.375,1.0,open,True,1,3.442704,0.63101824
E2-T5,set,play,2,3,2025-09-24T13:49:52,0.61,👍,,0.791,0.234,1.0,screenshot,True,1,2.0,0.6705199260330668
E2-T6,answer,close,-1,0,2025-09-24T13:49:52,0.349,👎,open,0.392,0.124,0.714,,False,1,0.0,0.27421813333333334
E2-T7,record,close,-1,0,2025-09-24T13:49:52,0.642,👎,screenshot,0.807,0.299,1.0,,False,1,3.03667671352064,0.8690886948480001
E2-T8,close,unmute,2,2,2025-09-24T13:49:52,0.618,👍,,0.802,0.242,1.0,screenshot,False,0,2.0,0.59928
